dataset,layer,mean_gold_logit,mean_gold_margin,mean_gold_prob,mean_gold_rank,mean_median_gold_rank,mean_token_count,median_gold_margin,median_gold_rank,method,n_rows,n_samples,receiver_prompt_mode,token_group
hotpotqa,11,2.932062149047851,-9.030917994181314,0.0002986194347108316,43378.524739583336,40457.453125,2.375,-9.251627604166668,33330.25,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,12,2.8430527514881554,-9.2760770228174,0.000233845762000587,42889.65828993055,40637.609375,2.375,-9.645833333333332,31573.0625,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,13,2.810472827487521,-9.0922669728597,0.0004215385085600722,38224.00950520833,35590.65625,2.375,-9.2578125,25263.0,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,14,2.441606987847222,-9.093858506944443,0.0002550022344138847,40943.70425347221,36809.4921875,2.375,-9.313802083333332,31741.083333333336,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,15,2.347011121114095,-8.613215658399794,0.0013404984153904166,38980.62864583334,35411.125,2.375,-8.884928385416668,32688.0,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,16,2.526118002997504,-7.587960773044162,0.0008192220678235801,28167.549175347227,24465.4375,2.375,-7.955837673611111,19051.5,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,17,2.293718836042616,-7.403318924374049,0.000989457378512606,29185.204644097223,25318.265625,2.375,-7.4425048828125,17346.333333333336,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,18,2.4241526285807287,-7.8364512125651045,0.0030674377156217143,28823.649479166666,26472.4296875,2.375,-7.69677734375,14591.25,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,19,2.2889923731486,-7.478007952372233,0.0012646197916135868,28918.508246527777,27147.0625,2.375,-7.330403645833334,11482.5,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,20,2.2368845621744784,-7.602934773763019,0.0011578370300944782,29517.192317708334,27797.4453125,2.375,-7.462565104166666,11055.5,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,21,2.570304128858778,-7.936314794752333,0.0024294549956400957,29154.25677083333,26820.671875,2.375,-7.78125,11658.333333333332,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,22,3.0004364013671885,-7.471414184570311,0.007601812740918931,20834.18680555556,18363.125,2.375,-7.526041666666666,7840.75,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,23,3.6226613998413097,-7.741260041130915,0.033590294179692386,12848.069184027781,11385.4375,2.375,-7.720703125,4145.222222222222,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,24,3.1561788029140896,-7.130615901947022,0.03427600016665812,9886.629861111112,8196.1171875,2.375,-6.810546875,1948.6666666666665,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,25,4.152976142035589,-8.857779608832463,0.08676373945217394,9602.059027777777,7613.890625,2.375,-9.118489583333332,1346.8333333333335,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,26,4.501266691419814,-8.69200859069824,0.08512667853978717,8605.973263888887,6760.4140625,2.375,-8.7109375,1406.0,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,27,5.34195556640625,-8.895392523871529,0.10564109293851717,8263.755078125,6379.8515625,2.375,-9.15625,818.6666666666667,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,28,6.051018693712023,-9.073856523301865,0.10930108187283459,7603.239322916667,5650.0390625,2.375,-9.9375,855.6666666666667,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,29,7.349630652533639,-11.791680653889973,0.11827262790277594,8174.997309027777,5910.8046875,2.375,-12.468098958333334,682.6666666666667,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,30,7.527611456976997,-10.974119228786893,0.1260172204400928,7693.248133680556,5549.0859375,2.375,-11.895833333333332,402.83333333333337,mse_then_ce,64,64,context_unaware,critical_tokens
hotpotqa,31,7.973808119032118,-9.688759697808159,0.1429240432852025,6890.374869791666,4986.375,2.375,-10.3515625,431.5,mse_then_ce,64,64,context_unaware,critical_tokens
